X,Y,j1,r1,e1,s1,m1
33.682,-84.3686,0.477513267,0.734170485,0.78652692,0.588862551,0.664948047
33.682,-84.0864,0.203120398,0.689848785,0.848322367,0.512636905,0.664948047
33.682,-84.4184,0.234436179,0.7583484,0.857868625,0.636402446,0.664890308
34.074,-84.2856,0.288401496,0.647925877,0.651421092,0.62811115,0.664774966
33.99,-84.3354,0.335196516,0.604135852,0.801269312,0.577104637,0.664372681
33.682,-84.4682,0.335196516,0.604135852,0.799508177,0.623908061,0.664143784
33.696,-84.103,0.237489212,0.67067983,0.776541866,0.56269513,0.664029601
33.766,-84.4018,0.442086932,0.89995615,0.837755053,0.571807746,0.663517955
34.06,-84.2192,0.335196516,0.604135852,0.799203118,0.587516675,0.663235233
34.074,-84.3686,0.113160901,0.511722789,0.787425861,0.61496411,0.662617039
33.696,-84.3852,0.218113866,0.618620415,0.829547967,0.573369748,0.662617039
33.906,-84.2524,0.193102609,0.589723183,0.729699314,0.638453328,0.661727015
34.088,-84.3686,0.067644946,0.457081458,0.737313291,0.590297095,0.661727015
33.724,-84.518,0.181947088,0.682695272,0.801278842,0.558188562,0.661561328
33.864,-84.3686,0.099598159,0.454769871,0.751885811,0.600259024,0.661121312
33.92,-84.269,0.142544578,0.551953971,0.868146229,0.581755959,0.660956984
33.836,-84.269,0.317907785,0.677823576,0.622686605,0.680159919,0.660629425
33.766,-84.3022,0.375871173,0.776648913,0.715814841,0.678448767,0.660086723
33.696,-84.4682,0.382353344,0.85308003,0.931431476,0.666365464,0.659280126
33.822,-84.3686,0.192616122,0.652618613,0.798480673,0.563089092,0.658482314
33.808,-84.269,0.490663825,0.842943809,0.746143961,0.611307735,0.658376593
34.074,-84.3852,0.067644946,0.457081458,0.733593243,0.585801889,0.658376593
33.57,-84.4682,0.20323015,0.725722325,0.757888963,0.824850408,0.65832379
33.654,-84.3354,0.258945266,0.689921883,0.616854729,0.557933374,0.658271025
33.864,-84.3852,0.245286289,0.737468159,0.956068453,0.580444304,0.658007769
33.696,-84.352,0.259103044,0.713176013,0.745675357,0.614182424,0.657745458
33.808,-84.2524,0.146695905,0.66660753,0.605929036,0.575162062,0.657640796
33.808,-84.2856,0.397637575,0.805169922,0.754429988,0.534899083,0.657327708
33.85,-84.2856,0.153316247,0.570006426,0.783489976,0.671581845,0.656964127
33.794,-84.3022,0.393903093,0.687014429,0.816230773,0.584849853,0.656808859
34.06,-84.2524,0.099598159,0.454769871,0.710990612,0.57217184,0.656757176
33.822,-84.3188,0.17980868,0.663796439,0.668419481,0.619757678,0.656139823
34.074,-84.4184,0.105708142,0.540299045,0.682389086,0.584905472,0.656139823
33.71,-84.2856,0.303456292,0.726041209,0.800277963,0.636046614,0.656088613
33.738,-84.352,0.365164449,0.803580049,0.684450494,0.608153514,0.655680216
33.892,-84.269,0.231393728,0.722001326,0.927667857,0.759837507,0.655324737
33.836,-84.2524,0.187232242,0.648908901,0.657952663,0.555577649,0.655122382
33.85,-84.2358,0.113160901,0.511722789,0.785927702,0.640439287,0.654618943
33.948,-84.3686,0.190393911,0.536868949,0.773339704,0.653220981,0.654568791
33.808,-84.1694,0.156197515,0.546219787,0.673042666,0.665649322,0.654468589
33.892,-84.3686,0.169672267,0.605566458,0.725461421,0.612729908,0.654218687
33.696,-84.2358,0.297312871,0.699715157,0.763986596,0.638698557,0.654118965
33.878,-84.2856,0.404405454,0.762115666,0.760859139,0.595645429,0.653771016
