origin_place_id,destination_place_id,duration_text,duration_value,distance_text,distance_value
ChIJ6YhRHpqp9YgRZaheguNZqvc,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 3 mins,3769,9.1 mi,14581
ChIJ9W_q5IIA9YgRGXl7SzmYAKo,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 30 mins,5394,13.6 mi,21890
ChIJawGa8O2p9YgRudHk1H_URzY,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 1 min,3681,7.9 mi,12748
ChIJaX1HTISp9YgRkZn33Z2aGvI,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 14 mins,4455,9.3 mi,15019
ChIJc6fHSvUA9YgRLFGdwM8T2NM,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 49 mins,6526,28.0 mi,45052
ChIJF1snEfCp9YgRn12OmCRDMMo,ChIJyRb7_u-n9YgRaFRK94xpvAo,58 mins,3500,8.6 mi,13914
ChIJF8I7-jOq9YgRjgmYYcYTfBE,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 26 mins,5131,13.2 mi,21284
ChIJGRg2kYip9YgRtwLIs7zxvAU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 10 mins,4212,9.3 mi,14957
ChIJiU_cnRGq9YgRw-RRf4jLT2Y,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 20 mins,4790,14.3 mi,23075
ChIJK44PoPGp9YgRaR05igb0h04,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 2 mins,3737,8.8 mi,14235
ChIJmVkaQpcA9YgRhlIlB8xPvSQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 22 mins,4904,12.7 mi,20441
ChIJoQRIL_UA9YgR-wDhAi5USQo,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 49 mins,6526,28.0 mi,45052
ChIJPVq7WIQA9YgRwzGJ4qWvKb4,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 26 mins,5179,13.5 mi,21657
ChIJxUEYNBaq9YgRMfl-zEnGAjQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 17 mins,4647,14.2 mi,22867
ChIJyfqen4Cq9YgRKKTtlgKVQAk,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 30 mins,5424,17.0 mi,27391
ChIJyQ_tzhCq9YgR1iwV9g0hC8s,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 16 mins,4589,13.9 mi,22316
ChIJz0PsnJSp9YgRmKa6_4kxzug,ChIJyRb7_u-n9YgRaFRK94xpvAo,55 mins,3325,7.6 mi,12207
ChIJzQKffYYA9YgRM4WaW93hsTw,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 33 mins,5605,13.9 mi,22423
ChIJ1w6V2nkH9YgRfoyeut2NnnM,ChIJyRb7_u-n9YgRaFRK94xpvAo,44 mins,2656,8.7 mi,13928
ChIJ7Zcclq8H9YgRXBNEXSD5W4k,ChIJyRb7_u-n9YgRaFRK94xpvAo,41 mins,2489,5.3 mi,8503
ChIJ89lsRhWo9YgR1WXZIWMvsvo,ChIJyRb7_u-n9YgRaFRK94xpvAo,21 mins,1273,3.3 mi,5275
ChIJbbApdyio9YgRDbu_pwV5Ooc,ChIJyRb7_u-n9YgRaFRK94xpvAo,51 mins,3049,7.2 mi,11587
ChIJD_T9DpgH9YgRdHDgyLLY9zM,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 0 mins,3594,6.4 mi,10324
ChIJf2yMEIoH9YgR7r85CHaUjpY,ChIJyRb7_u-n9YgRaFRK94xpvAo,49 mins,2944,4.4 mi,7060
ChIJn-ghT3gH9YgRQKq0GL07JH4,ChIJyRb7_u-n9YgRaFRK94xpvAo,49 mins,2964,8.8 mi,14102
ChIJnZZRu9Sp9YgRItEbYRwj39Q,ChIJyRb7_u-n9YgRaFRK94xpvAo,49 mins,2944,8.2 mi,13166
ChIJPwNYuq0H9YgRb8pixsQ3RdE,ChIJyRb7_u-n9YgRaFRK94xpvAo,38 mins,2298,5.6 mi,8942
ChIJrXBoviio9YgRE347JP3qHF4,ChIJyRb7_u-n9YgRaFRK94xpvAo,50 mins,2987,7.2 mi,11511
ChIJt4E28ngH9YgRJ2LeI5b8fYg,ChIJyRb7_u-n9YgRaFRK94xpvAo,47 mins,2811,8.6 mi,13884
ChIJV-GI4ngH9YgR7zedQikuyLg,ChIJyRb7_u-n9YgRaFRK94xpvAo,45 mins,2694,8.5 mi,13727
ChIJXzqoLCWo9YgRv4f5If_oT-E,ChIJyRb7_u-n9YgRaFRK94xpvAo,54 mins,3267,6.5 mi,10386
ChIJyzU0cCyo9YgRTqcvkkABtW4,ChIJyRb7_u-n9YgRaFRK94xpvAo,48 mins,2883,6.6 mi,10665
ChIJ49vEyoWq9YgRGSkkj02BzgY,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 42 mins,6139,18.6 mi,29975
